Time,T1,T2,Q1,Q2
967.01,54.092,44.553,60.0,60.0
970.0,54.092,44.424,60.0,60.0
973.01,54.092,44.972,60.0,60.0
976.01,54.092,44.746,60.0,60.0
979.01,54.092,44.939,60.0,60.0
982.0,54.253,44.811,60.0,60.0
985.01,54.382,45.133,60.0,60.0
988.01,54.414,45.262,60.0,60.0
991.01,54.414,45.262,60.0,60.0
994.01,54.414,45.326,60.0,60.0
997.0,54.446,45.068,60.0,60.0
1000.01,54.511,45.552,60.0,60.0
1003.01,54.64,45.391,60.0,60.0
1005.01,54.64,45.616,60.0,60.0
1008.0,54.672,45.584,60.0,60.0
1010.0,54.672,45.391,60.0,60.0
1012.01,54.736,45.648,60.0,60.0
1014.0,54.736,45.584,60.0,60.0
1016.0,54.704,45.391,60.0,60.0
1018.01,54.479,45.584,60.0,60.0
1020.01,54.736,45.391,60.0,60.0
1022.0,54.736,45.552,60.0,60.0
1024.01,54.736,45.745,60.0,60.0
1026.01,54.704,45.681,60.0,60.0
1029.01,54.736,45.938,60.0,60.0
1032.01,54.736,45.713,60.0,60.0
1034.01,54.736,45.777,60.0,60.0
1036.01,54.736,46.035,60.0,60.0
1039.0,54.736,46.196,60.0,60.0
1041.01,54.736,46.293,60.0,60.0
1044.01,54.736,46.293,60.0,60.0
1046.01,54.736,46.1,60.0,60.0
1048.0,54.736,46.035,60.0,60.0
1050.01,54.736,46.229,60.0,60.0
1052.01,54.736,46.035,60.0,60.0
1054.0,55.059,46.261,60.0,60.0
1056.01,54.994,46.486,60.0,60.0
1058.01,55.026,46.229,60.0,60.0
1061.01,54.897,46.615,60.0,60.0
1064.01,55.026,46.422,60.0,60.0
1066.0,55.026,46.357,60.0,60.0
1068.01,55.059,46.551,60.0,60.0
1070.01,54.833,46.486,60.0,60.0
1072.01,54.833,46.357,60.0,60.0
1075.0,55.059,46.357,60.0,60.0
1077.01,55.059,46.551,60.0,60.0
1080.0,55.123,46.551,60.0,60.0
1082.01,55.091,46.486,60.0,60.0
1085.01,55.349,46.615,60.0,60.0
1088.01,55.059,46.357,60.0,60.0
1090.01,55.188,46.551,60.0,60.0
1092.01,55.284,46.615,60.0,60.0
1094.01,55.349,46.357,60.0,60.0
1096.01,55.381,46.357,60.0,60.0
1098.01,55.252,46.615,60.0,60.0
1100.02,55.284,46.615,60.0,60.0
1102.01,55.349,46.583,60.0,60.0
1105.01,55.381,46.486,60.0,60.0
1108.01,55.381,46.615,60.0,60.0
1111.01,55.413,46.615,60.0,60.0
1113.01,55.413,46.486,60.0,60.0
1115.01,55.478,46.615,60.0,60.0
1117.01,55.542,46.615,60.0,60.0
1119.02,55.606,46.486,60.0,60.0
1121.0,55.671,46.422,0.0,60.0
1123.01,55.671,46.357,0.0,60.0
1126.0,55.639,46.583,0.0,60.0
1128.0,55.51,46.647,0.0,60.0
1130.01,55.51,46.68,0.0,60.0
1133.0,55.381,46.647,0.0,60.0
1135.01,55.155,46.809,0.0,60.0
1137.01,55.059,46.712,0.0,60.0
1139.0,54.736,46.583,0.0,60.0
1141.01,54.479,46.841,0.0,60.0
